regiao_codigo,regiao_nome,dormidas,ano,origem
,16E0606: Góis,10856.0,2024,Portugal
,16E0607: Lousã,32650.0,2024,Portugal
,16E0111: Mealhada,92515.0,2024,Portugal
,16E0608: Mira,40914.0,2024,Portugal
,16E0609: Miranda do Corvo,20260.0,2024,Portugal
,16E0610: Montemor-o-Velho,8266.0,2024,Portugal
,16E1808: Mortágua,55967.0,2024,Portugal
,16E0611: Oliveira do Hospital,34561.0,2024,Portugal
,16E0612: Pampilhosa da Serra,8552.0,2024,Portugal
,16E0613: Penacova,12338.0,2024,Portugal
,16E0614: Penela,21621.0,2024,Portugal
,16E0615: Soure,22664.0,2024,Portugal
,16E0616: Tábua,33279.0,2024,Portugal
,16E0617: Vila Nova de Poiares,2119.0,2024,Portugal
,16F: Região de Leiria,452465.0,2024,Portugal
,16F1002: Alvaiázere,4360.0,2024,Portugal
,16F1003: Ansião,10244.0,2024,Portugal
,16F1004: Batalha,40340.0,2024,Portugal
,16F1007: Castanheira de Pêra,6534.0,2024,Portugal
,16F1008: Figueiró dos Vinhos,9831.0,2024,Portugal
,16F1009: Leiria,238911.0,2024,Portugal
,16F1010: Marinha Grande,74300.0,2024,Portugal
,16F1013: Pedrógão Grande,1624.0,2024,Portugal
,16F1015: Pombal,48591.0,2024,Portugal
,16F1016: Porto de Mós,17730.0,2024,Portugal
,16G: Viseu Dão Lafões,512661.0,2024,Portugal
,16G0901: Aguiar da Beira,7722.0,2024,Portugal
,16G1802: Carregal do Sal,8443.0,2024,Portugal
,16G1803: Castro Daire,13771.0,2024,Portugal
,16G1806: Mangualde,27271.0,2024,Portugal
,16G1809: Nelas,51521.0,2024,Portugal
,16G1810: Oliveira de Frades,4924.0,2024,Portugal
,16G1811: Penalva do Castelo,6185.0,2024,Portugal
,16G1814: Santa Comba Dão,2562.0,2024,Portugal
,16G1816: São Pedro do Sul,135282.0,2024,Portugal
,16G1817: Sátão,3550.0,2024,Portugal
,16G1821: Tondela,34627.0,2024,Portugal
,16G1822: Vila Nova de Paiva,1881.0,2024,Portugal
,16G1823: Viseu,202439.0,2024,Portugal
,16G1824: Vouzela,12483.0,2024,Portugal
,16H: Beira Baixa,159681.0,2024,Portugal
,16H0502: Castelo Branco,82339.0,2024,Portugal
,16H0505: Idanha-a-Nova,31058.0,2024,Portugal
,16H0506: Oleiros,10899.0,2024,Portugal
,16H0507: Penamacor,17587.0,2024,Portugal
,16H0508: Proença-a-Nova,4769.0,2024,Portugal
,16H0511: Vila Velha de Ródão,13029.0,2024,Portugal
,16I: Médio Tejo,686396.0,2024,Portugal
,16I1401: Abrantes,39749.0,2024,Portugal
,16I1402: Alcanena,13143.0,2024,Portugal
,16I1408: Constância,7622.0,2024,Portugal
,16I1410: Entroncamento,15291.0,2024,Portugal
,16I1411: Ferreira do Zêzere,21331.0,2024,Portugal
,16I1413: Mação,3617.0,2024,Portugal
,16I1421: Ourém,394446.0,2024,Portugal
,16I1417: Sardoal,3102.0,2024,Portugal
,16I0509: Sertã,42915.0,2024,Portugal
,16I1418: Tomar,99740.0,2024,Portugal
,16I1419: Torres Novas,29783.0,2024,Portugal
,16I0510: Vila de Rei,8584.0,2024,Portugal
,16I1420: Vila Nova da Barquinha,7073.0,2024,Portugal
,16J: Beiras e Serra da Estrela,849214.0,2024,Portugal
,16J0902: Almeida,14015.0,2024,Portugal
,16J0501: Belmonte,20323.0,2024,Portugal
,16J0903: Celorico da Beira,26179.0,2024,Portugal
,16J0503: Covilhã,283447.0,2024,Portugal
,16J0904: Figueira de Castelo Rodrigo,7842.0,2024,Portugal
,16J0905: Fornos de Algodres,23735.0,2024,Portugal
,16J0504: Fundão,153425.0,2024,Portugal
,16J0906: Gouveia,21559.0,2024,Portugal
,16J0907: Guarda,77781.0,2024,Portugal
,16J0908: Manteigas,59261.0,2024,Portugal
,16J0909: Mêda,22044.0,2024,Portugal
,16J0910: Pinhel,4571.0,2024,Portugal
,16J0911: Sabugal,21861.0,2024,Portugal
,16J0912: Seia,98387.0,2024,Portugal
,16J0913: Trancoso,14784.0,2024,Portugal
17,Área Metropolitana de Lisboa,4229266.0,2024,Portugal
170,Área Metropolitana de Lisboa,4229266.0,2024,Portugal
1701502,Alcochete,27920.0,2024,Portugal
1701503,Almada,152949.0,2024,Portugal
1701115,Amadora,76665.0,2024,Portugal
1701504,Barreiro,9039.0,2024,Portugal
1701105,Cascais,382387.0,2024,Portugal
1701106,Lisboa,2218168.0,2024,Portugal
1701107,Loures,136558.0,2024,Portugal
1701109,Mafra,80993.0,2024,Portugal
1701506,Moita,411.0,2024,Portugal
1701507,Montijo,124613.0,2024,Portugal
1701116,Odivelas,2960.0,2024,Portugal
1701110,Oeiras,249438.0,2024,Portugal
1701508,Palmela,37499.0,2024,Portugal
1701510,Seixal,47516.0,2024,Portugal
1701511,Sesimbra,132845.0,2024,Portugal
